,NumContrato,Categoría,Division,Clientes,CodFamilias,Familia,NumServicio,CodComercials,CodAlmacen,Delegacion,Montaje,ImpFactAlquiler,CodActividad,NumAlbsDev,PesoDev,CantidadDev,PesoDevueltoEnContrato,PesoArtSumEnContrato,PesoSumEnContrato,PesoTotalDevPorFamilia,PtjeCatEnFam
3139,142821,3,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,17,-2306.2,-233,12235.25000000003,7665.390000000004,214892.15999999997,-2673.3999999999996,86.26468167876114
3140,142821,2,6,702,11,ANDAMIOS BRIO                 ,1,510,181,11,1,66556.18999999999,2,24,-734.8999999999999,-129,12235.25000000003,7665.390000000004,214892.15999999997,-1196.3999999999996,61.425944500167176
3141,142821,2,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,9,-461.5,-23,12235.25000000003,7665.390000000004,214892.15999999997,-1196.3999999999996,38.574055499832845
3142,142821,4,6,702,11,ANDAMIOS BRIO                 ,1,510,181,11,1,66556.18999999999,2,33,-2489.900000000001,-125,12235.25000000003,7665.390000000004,214892.15999999997,-3008.6000000000004,82.75942298743604
3143,142821,4,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,5,-319.1,-13,12235.25000000003,7665.390000000004,214892.15999999997,-3008.6000000000004,10.606262048793457
3144,142821,4,6,702,11,ANDAMIOS BRIO                 ,1,510,541,11,1,66556.18999999999,2,2,-199.6,-7,12235.25000000003,7665.390000000004,214892.15999999997,-3008.6000000000004,6.634314963770524
3145,142821,0,6,702,11,ANDAMIOS BRIO                 ,1,510,181,11,1,66556.18999999999,2,305,-85197.00000000001,-8017,12235.25000000003,7665.390000000004,214892.15999999997,-130036.5,65.51775847550496
3146,142821,0,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,224,-41747.19999999999,-4817,12235.25000000003,7665.390000000004,214892.15999999997,-130036.5,32.104216892949275
3147,142821,0,6,702,11,ANDAMIOS BRIO                 ,1,510,541,11,1,66556.18999999999,2,12,-3092.3,-154,12235.25000000003,7665.390000000004,214892.15999999997,-130036.5,2.3780246315457587
3148,142821,5,6,702,11,ANDAMIOS BRIO                 ,3,510,182,11,1,66556.18999999999,2,2,-22.5,-125,12235.25000000003,7665.390000000004,214892.15999999997,-22.5,100.0
3149,142821,6,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,45,-11509.6,-1403,12235.25000000003,7665.390000000004,214892.15999999997,-11509.599999999999,100.00000000000003
3150,142821,8,6,702,11,ANDAMIOS BRIO                 ,1,510,182,11,1,66556.18999999999,2,5,-43.2,-9,12235.25000000003,7665.390000000004,214892.15999999997,-43.2,100.0
3151,142828,1,6,920,11,ANDAMIOS BRIO                 ,1,567,71,7,1,24029.370000000024,2,7,-126.0,-7,2876.5999999999985,2180.190000000001,56019.000000000015,-126.0,100.0
3152,142828,2,6,920,11,ANDAMIOS BRIO                 ,1,567,71,7,1,24029.370000000024,2,11,-511.20000000000005,-32,2876.5999999999985,2180.190000000001,56019.000000000015,-511.20000000000005,100.0
3153,142828,4,6,920,11,ANDAMIOS BRIO                 ,1,567,71,7,1,24029.370000000024,2,1,-22.2,-1,2876.5999999999985,2180.190000000001,56019.000000000015,-22.2,100.0
3154,142828,0,6,920,11,ANDAMIOS BRIO                 ,1,567,71,7,1,24029.370000000024,2,251,-53755.2,-6147,2876.5999999999985,2180.190000000001,56019.000000000015,-54727.099999999984,98.22409738502499
3155,142828,0,6,920,11,ANDAMIOS BRIO                 ,2,567,71,7,1,24029.370000000024,2,3,-58.099999999999994,-83,2876.5999999999985,2180.190000000001,56019.000000000015,-54727.099999999984,0.1061631257640182
3156,142828,0,6,920,11,ANDAMIOS BRIO                 ,6,567,71,7,1,24029.370000000024,2,21,-913.8000000000001,-109,2876.5999999999985,2180.190000000001,56019.000000000015,-54727.099999999984,1.669739489211013
3157,142845,1,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,13,-154.2,-16,6786.909999999969,4431.23999999999,154201.55999999956,-154.2,100.0
3158,142845,3,6,955,11,ANDAMIOS BRIO                 ,1,1012,81,7,1,98042.19000000018,2,5,-48.3,-36,6786.909999999969,4431.23999999999,154201.55999999956,-4729.299999999999,1.0212927917450787
3159,142845,3,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,53,-4680.999999999999,-591,6786.909999999969,4431.23999999999,154201.55999999956,-4729.299999999999,98.97870720825492
3160,142845,2,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,24,-481.3,-82,6786.909999999969,4431.23999999999,154201.55999999956,-481.3,100.0
3161,142845,4,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,4,-70.9,-4,6786.909999999969,4431.23999999999,154201.55999999956,-70.9,100.0
3162,142845,0,6,955,11,ANDAMIOS BRIO                 ,1,1012,81,7,1,98042.19000000018,2,60,-8070.299999999998,-1088,6786.909999999969,4431.23999999999,154201.55999999956,-58196.899999999994,13.867233478071855
3163,142845,0,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,207,-49206.79999999998,-5369,6786.909999999969,4431.23999999999,154201.55999999956,-58196.899999999994,84.55226996626965
3164,142845,0,6,955,11,ANDAMIOS BRIO                 ,12,1012,81,7,1,98042.19000000018,2,4,-63.00000000000001,-6,6786.909999999969,4431.23999999999,154201.55999999956,-58196.899999999994,0.10825318874373036
3165,142845,0,6,955,11,ANDAMIOS BRIO                 ,15,1012,81,7,1,98042.19000000018,2,10,-749.9,-117,6786.909999999969,4431.23999999999,154201.55999999956,-58196.899999999994,1.2885566069670378
3166,142845,0,6,955,11,ANDAMIOS BRIO                 ,16,1012,81,7,1,98042.19000000018,2,3,-106.9,-13,6786.909999999969,4431.23999999999,154201.55999999956,-58196.899999999994,0.18368675994769484
3167,142845,6,6,955,11,ANDAMIOS BRIO                 ,7,1012,81,7,1,98042.19000000018,2,310,-71976.29999999997,-8737,6786.909999999969,4431.23999999999,154201.55999999956,-74012.8,97.24844891694406
3168,142845,6,6,955,11,ANDAMIOS BRIO                 ,12,1012,81,7,1,98042.19000000018,2,9,-169.79999999999998,-25,6786.909999999969,4431.23999999999,154201.55999999956,-74012.8,0.2294197760387392
3169,142845,6,6,955,11,ANDAMIOS BRIO                 ,15,1012,81,7,1,98042.19000000018,2,12,-1707.6,-134,6786.909999999969,4431.23999999999,154201.55999999956,-74012.8,2.3071684897747415
